service_id,date,exception_type
1001-53773-20230429,20230715,1
1001-53773-20230429,20230722,1
1001-53773-20230429,20230729,1
1001-53773-20230430,20230507,1
1001-53773-20230430,20230514,1
1001-53773-20230430,20230521,1
1001-53773-20230430,20230528,1
1001-53773-20230430,20230604,1
1001-53773-20230430,20230611,1
1001-53773-20230430,20230618,1
1001-53773-20230430,20230625,1
1001-53773-20230430,20230702,1
1001-53773-20230430,20230709,1
1001-53773-20230430,20230716,1
1001-53773-20230430,20230723,1
1001-53773-20230430,20230730,1
1001-53773-20230421,20230428,1
1001-53773-20230421,20230505,1
1001-53773-20230421,20230512,1
1001-53773-20230421,20230519,1
1001-53773-20230421,20230526,1
1001-53773-20230421,20230602,1
1001-53773-20230421,20230609,1
1001-53773-20230421,20230616,1
1001-53773-20230421,20230623,1
1001-53773-20230421,20230630,1
1001-53773-20230421,20230707,1
1001-53773-20230421,20230714,1
1001-53773-20230421,20230721,1
1001-53773-20230421,20230728,1
1001-53759-20230424,20230501,1
1001-53759-20230424,20230508,1
1001-53759-20230424,20230515,1
1001-53759-20230424,20230522,1
1001-53759-20230424,20230529,1
1001-53759-20230424,20230605,1
1001-53759-20230424,20230612,1
1001-53759-20230424,20230619,1
1001-53759-20230424,20230626,1
1001-53759-20230424,20230703,1
1001-53759-20230424,20230710,1
1001-53759-20230424,20230717,1
1001-53759-20230424,20230724,1
1001-53759-20230502,20230509,1
1001-53759-20230502,20230516,1
1001-53759-20230502,20230523,1
1001-53759-20230502,20230530,1
1001-53759-20230502,20230606,1
1001-53759-20230502,20230613,1
1001-53759-20230502,20230620,1
1001-53759-20230502,20230627,1
1001-53759-20230502,20230704,1
1001-53759-20230502,20230711,1
1001-53759-20230502,20230718,1
1001-53759-20230502,20230725,1
1001-53759-20230426,20230503,1
1001-53759-20230426,20230510,1
1001-53759-20230426,20230517,1
1001-53759-20230426,20230524,1
1001-53759-20230426,20230531,1
1001-53759-20230426,20230607,1
1001-53759-20230426,20230614,1
1001-53759-20230426,20230621,1
1001-53759-20230426,20230628,1
1001-53759-20230426,20230705,1
1001-53759-20230426,20230712,1
1001-53759-20230426,20230719,1
1001-53759-20230426,20230726,1
1001-53759-20230427,20230504,1
1001-53759-20230427,20230511,1
1001-53759-20230427,20230518,1
1001-53759-20230427,20230525,1
